# cohort	faculty	department	program	course	category	source	pdf_page	course_code	credits
2024	人文社会科学部	人間文化学科	*	AdvancedReading	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	56		
2024	人文社会科学部	人間文化学科	*	AdvancedSpeaking	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	57		
2024	人文社会科学部	人間文化学科	*	AdvancedWriting	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	56		
2024	人文社会科学部	人間文化学科	*	EarlyModernJapanesePalaeography:KuzushijiandTranscription	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	59		
2024	人文社会科学部	人間文化学科	*	EarlyModernJapanesePalaeography:KuzushijiandTranscription	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	61		
2024	人文社会科学部	人間文化学科	*	EnvironmentandEnvironmentalDisasterinJapaneseHistory	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	61		
2024	人文社会科学部	人間文化学科	*	IntroductiontoReligionsinJapan	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	59		
2024	人文社会科学部	人間文化学科	*	IntroductiontoReligionsinJapan	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	61		
2024	人文社会科学部	人間文化学科	*	IntroductiontotheHistoryofJapan'sInternationalRelations	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	61		
2024	人文社会科学部	人間文化学科	*	JapaneseFilmHistory	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	59		
2024	人文社会科学部	人間文化学科	*	TheHistoryofJapanesePhilosophy	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	59		
2024	人文社会科学部	人間文化学科	*	アジア史特講	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	61		
2024	人文社会科学部	人間文化学科	*	アメリカ文学史	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	57		
2024	人文社会科学部	人間文化学科	*	アメリカ文学特講I	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	58		
2024	人文社会科学部	人間文化学科	*	アメリカ文学特講II	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	58		
2024	人文社会科学部	人間文化学科	*	イギリス文学史	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	56		
2024	人文社会科学部	人間文化学科	*	イギリス文学特講I	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	58		
2024	人文社会科学部	人間文化学科	*	イギリス文学特講II	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	58		
2024	人文社会科学部	人間文化学科	*	カウンセリング心理学論(心理学的支援法)	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	62		
2024	人文社会科学部	人間文化学科	*	プレゼン・スタディ	学科専門科目	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	57		
2024	人文社会科学部	人間文化学科	*	メジャー基礎ゼミナール	メジャー基礎ゼミナール	https://www.hum.ibaraki.ac.jp/pdf/lessonplan.pdf	52		
